Date,Where used,Song Title,Artist,Buy
2011/07,"""AirPlay"" and ""FaceTime"" commercials (""If you don't have an iPhone you don't have an iPhone"") 2011/03 iPhone 4 ""Apps"" ""iBooks"" ""iPod + iTunes"" ""Retina"" ""Game Center""",So In Love,Jarvis,iTunes
2009/06,WWDC intra-session 6/12/09 11:54am,So What,P!nk,iTunes
2003/04,iTunes Music Event,Soak Up The Sun (Album Version),Sheryl Crow,iTunes
2002,Computer Setup Music Mac OS X 10.2 Jaguar,Sofa Rockers (Richard Dorfmeister Remix),Sofa Surfers,iTunes
2010/06,WWDC Intra-session,Soft Shock,Yeah Yeah Yeahs,iTunes
2014/09/09,"Ã¯Â£Â¿ WATCH ""Health & Fitness"" video 1:11",Someday,Eddie Gomez,iTunes
2006/08,Apple iPod 5G iPod + iTunes commercial,Someday Baby,Bob Dylan,iTunes
2011/06,WWDC Intra-session 6/6/11 2:04 p.m. 2010/06 WWDC Intra-session 6/6/11 2:04 p.m.,Someone Great,LCD Soundsystem,iTunes
2005,MWSF Keynote,Somewhere Over the Rainbow / What a Wonderful World,Israel Kamakawiwo'ole,iTunes
2004,Apple Store in-store iPod pre-loaded music 2003 Panther introduction video,Somnambulist (Simply Being Loved),BT,iTunes
2012/06,"MacBook Pro with Retina Display introduction video & ""Every Dimension"" commercial",Song (String Version),Kidstreet,iTunes
2014/02,On the runway with iPhone 5s,Soothing Me So,Victory,iTunes
2014/06,WWDC intra-session 2011/06 WWDC intra-session 6/7/11 11:27 a.m. 6/9/11 10:00 a.m.,The Sound Of Sunshine,Michael Franti & Spearhead,iTunes
2010/06,WWDC Intra-session,Spaceman,Dave Matthews Band,iTunes
2010/06,WWDC Intra-session,Spaceman,The Killers,iTunes
2005/10,"iPod + iTunes (iPod 5G) ""Sparks"" commercial",Sparks,Wynton Marsalis,
2010/06,WWDC Intra-session,Speed of Light,Alphawesen,
2014/06,"WWDC intra-session 2005 iTunes commercial ""Coldplay""",Speed of Sound,Coldplay,iTunes
2015/06/11,WWDC Bash 7:18pm,Spend Your $$$,WALK THE MOON,iTunes
2010/06,WWDC Intra-session,Spiralling,Keane,iTunes
2002/06,"Apple ""Switch"" commercials",Spit,John Murphy,
2004,iTMS Europe Launch,Spitting Games,Snow Patrol,iTunes
2003/04,iTunes Music Event,St. Louis Blues,Louis Armstrong & The All Stars,
2015/03/09,Ã¯Â£Â¿ WATCH stainless steel video,"""stainless steel""",(Please help identify!),
2004,iLife '04 Intro,Starry Eyed Surprise,Paul Oakenfold,iTunes
2015/06,WWDC intra-session playlist 25 2014/06/02 WWDC intra-session,Step,Vampire Weekend,iTunes
2009/06,WWDC intra-session 6/12/09 11:57am,Stir It Up,The Wailers,iTunes
2015/06,WWDC intra-session playlist 50,Stolen Dance,Milkey Chance,
2002,G4 iMac Intro,Stomp (Remix),God's Property & Kirk Franklin,iTunes
2014/06,WWDC intra-session,Stop Me ( Daniel Merriweather),Mark Ronson,iTunes
2013/09,iTunes Festival 2013 - Moments,Stormur,Sigur Ros,iTunes
2014/09/09,paying without Ã¯Â£Â¿ Pay video,Straight to Video,Shawn Lee's Ping Pong Orchestra,iTunes
2003/04,iTunes introduction video,Straight to...Number One,Touch and Go,
2011/06,WWDC Intra-session 2010/06 WWDC Intra-session,Strawberry Swing,Coldplay,iTunes
2010/02,"iPhone/App Store ""On Hold"" ""First Steps"" and ""Family Travel"" commercials",Stringing Up Conkers,The Boy Least Likely To,iTunes
2014/06,WWDC intra-session,Stylo (feat. Mos Def & Bobby Womack),Gorillaz,iTunes
2009/09,"iPhone 3GS ""Dine"" ""Nature"" ""Pass"" ""Song"" ""Gift"" ""Multi-people"" ""Where's the movie"" commercials",Submarine Symphonika,The Submarines,iTunes
2014/06,WWDC intra-session,Such Great Heights,The Postal Service,iTunes
2011/06,WWDC intra-session,Sultans of Swing,Dire Straits,iTunes
2011/06,WWDC intra-session 6/7/11 11:24 a.m. 6/8/11 1:45 p.m. 6/9/11 10:14 a.m. 6/10/11 8:48 a.m.,Summer days,Phoenix,iTunes
2015/03/09,West Lake China Apple Store Opening video,Sun's Comin' Up,Animal Fiction,iTunes
2001,"""iTunes + iMac 1"" commercial",Sunburn,Muse,iTunes
2014/06,WWDC intra-session,Sunshine,Matisyahu,iTunes
2013/06,Mac Pro sneak peak video,Supremacy,Muse,iTunes
2005,MWSF Keynote,Sweetest Thing,U2,iTunes
2001/10,original Apple iPod intro / commercial,Take California,Propellerheads,iTunes
2001,Apple iPod intro,Take Five,The Dave Brubeck Quartet,iTunes
2003/04,iTunes Music Event,Take It Easy,Eagles,iTunes
2003/04,iTunes Music Event,Take Me to the River,Talking Heads,iTunes
2011/06,iOS 5 promo video,Take What You Take,Lily Allen,iTunes
2014/09/09,"iPhone 6/6 Plus ""Voice Text"" ""Reservations"" ""Gamers"" ""Health"" ""Camera"" & ""Huge"" commercials",Talkback,Rob Simonsen,
2009/06,WWDC intra-session,Tamacun,Rodrigo y Gabriela,iTunes
2014/06,WWDC intra-session,Team,Lorde,iTunes
2014/06,"WWDC intra-session 2005/06 (Where was it used on this date?) 2004 iPod + iTunes (iPod 4G) ""Pop-Lock"" silhouette commercial",Technologic,Daft Punk,iTunes
2009/06,WWDC intra-session 6/11/2009 6:05pm,Tengo la Voz,Bostich,iTunes
2014,"iPhone 5c iSee5c.tumbler.com ""Please try again""",Tetris,,
2009/06,WWDC intra-session 6/12/09 12:01pm,That's Not My Name,The Ting Tings,iTunes
1996,"PowerBook ""Mission: Impossible"" commercial",Theme from Mission: Impossible,Mission: Impossible,iTunes
2010/06,"WWDC intra-session 6/9/10 3:35 p.m. 1999 G4 ""Tanks"" commercial",Theme from The Great Escape,Elmer Bernstein & The Royal Philharmonic Pops Orchestra,
2010/03,"iPad ""Meet iPad"" Oscar commercial",There Goes My Love,The Blue Van,iTunes
2015/06/08,History of Sound video,There is No Light,Wildbirds & Peacedrums,iTunes
2011/03,iPad: Year One,There's So Much Energy in Us,Cloud Cult,iTunes
2015/06,WWDC intra-session playlist 48,Theres No Other Way,Blur,iTunes
2011/06,WWDC intra-session 6/9/11 10:12 a.m. 6/10/11 10:59 a.m.,Thinking About You,Norah Jones,iTunes
2010/06,WWDC Intra-session 6/9/10 3:41 p.m.,The Third Man Theme,Anton Karas,iTunes
2002,G4 iMac Intro,This Could Be Heaven,Seal,iTunes
2014/06,WWDC intra-session,This Must Be The Place (Naive Melody),Talking Heads,iTunes
2012/06,WWDC intra-session 6/12/2012 8:54 a.m. 2010/06 WWDC Bash 13 iPhone 4 Design Video WWDC intra-session 6/8/10 1:00pm 6/9/10 11:43am 6/9/10 6:06 p.m.,This Too Shall Pass,OK Go,iTunes
2010/06,WWDC Intra-session 6/10/10 2:26 p.m.,Thnks Fr Th Mmrs,Fall Out Boy,iTunes
2011/06,WWDC intra-session 6/8/11 12:39 p.m. 6/10/11 8:45 a.m.,Ticket To Ride,The Beatles,iTunes
2010/06,WWDC Intra-session 6/6/10 12:34am,Tigerlily,La Roux,iTunes
2010/06,WWDC Intra-session,Tighten Up,The Black Keys,iTunes
2015/06/10,WWDC Free Download,Tightrope,WALK THE MOON,iTunes
2010/06,WWDC Intra-session,Tijuana Sound Machine,Bostich+Fussible,iTunes
2011/06,WWDC intra-session 6/7/11 11:12 a.m.,Till Kingdom Come,Coldplay,iTunes
2015/06,WWDC intra-session playlist 39,Time,Jungle,iTunes
2015/06,WWDC intra-session playlist 43 2014/06 WWDC intra-session 2012/09 Media Event,Times Like These,Foo Fighters,iTunes
2012/01,"""The textbook. Reinvented for iPad"" promo video",To Build A Home (Instrumental Version),The Cinematic Orchestra,iTunes
2011/03,iPad: Year One,Tokyo Moon,Windmill,iTunes
2011/11,"iPod touch 4G ""Share the Fun"" commercial",Tongue Tied,Grouplove,iTunes
2011/06,WWDC intra-session 6/7/11 8:55 p.m.,Too Many Rappers [new reactionaries version] (featuring NAS),Beastie Boys,iTunes
2015/05/20,Shot on an iPhone 6 by Cocu,Triangle,BADBADNOTGOOD,iTunes
2009,iPhone 3G S getting started video,Troublemaker,Weezer,iTunes
2010/06,WWDC Intra-session,True Faith,Anberlin,iTunes
2013,iTunes Festival,Trying to Be Cool,Phoenix,iTunes
2012/11,"iPad mini ""Photos"" commercial",Two of a Kind,Bobby Darin & Johnny Mercer with Billy May & His Orchestra,iTunes
2012/10,Apple Special Event pre-show 2011/06 WWDC intra-session,Two Weeks,Grizzly Bear,iTunes
2003/04,iTunes Music Event,"Two-Part Invention No. 14 in B-flat Major, BWV 785",Glenn Gould,iTunes
2015/06/08,WWDC Keynote 2:06,Uma Thurman,Fall Out Boy,iTunes
2015/05/06,"iPad Air 2 ""Everything changes with iPad."" film 2013/06/10 WWDC Keynote 1:33:59",Unbelievers,Vampire Weekend,iTunes
2005/10,Special Music Event,Unbreakable (Radio Edit),Alicia Keys,iTunes
2011/06,WWDC intra-session,Uncharted,Sara Bareilles,iTunes
2010/06,WWDC Intra-session,Under Control,The Strokes,iTunes
2009/06,WWDC intra-session,The Underdog,Spoon,iTunes
2013/06/10,iOS 7 feature video 3:54 https://www.youtube.com/watch?v=rT_OmTMwvZI#t=235,(unknown 2nd Song),(Please help identify!),
2013/09/10,iPhone 5s Touch ID video,(unknown instrumental),(Please help identify!),
2014/09/02,Diversity - Inclusion inspires innovation video,(unknown instrumental),(Please help identify!),
2015/04/28,Ã¯Â£Â¿ WATCH Cristy Turlington London Marathon video,(unknown instrumental),(Please help identify!),
2015/06/08,WWDC Timelapse & Hello In Line videos,(unknown WWDC instrumental),(Please help identify!),
2014/10/16,"iPad Air 2 ""Reveal"" video",(unknown),(Please help identify!),
2013/10/23,iPad Air introduction video,(unknown),(Please help identify!),
2014/09/09,"Ã¯Â£Â¿ WATCH ""Health & Fitness"" video (2:05)",(unknown),(Please help identify!),
2015/06/08,iOS 9 App Effect Video,(unknown),(Please help identify!),
2015/06/08,"WWDC ""Backstage"" video @4:07",(unknown),(Please help identify!),
2015/06,WWDC intra-session playlist 13,Up All Night,Owl City,iTunes
2010/06,WWDC Intra-session,Uprising,Muse,iTunes
2015/06/08,WWDC Keynote 2:10 pre-keynote 9:57am,Uptown Funk (Feat. Bruno Mars),Mark Ronson,iTunes
2012/07/28,"Apple's employee recruiting video (first song please help identify other 2) <https: www.youtube.com="""" watch?v=""X9SK052cF3c""></https:>",Upward Rising,Cotton Club,iTunes
2014/06,WWDC intra-session,The Veldt (featuring Chris James) [8 minute edit],deadmau5,iTunes
2004/10,"Apple iPod ""Vertigo"" silhouette commercial/2004 U2 iTunes Event",Vertigo,U2,iTunes
2009/06,WWDC intra-session,Vikingman,Rodrigo y Gabriela,iTunes
2014/05,iPad Air Promo Salonen's Verse,Violin Concerto: I. Mirage - II. Pulse I - III. Pulse II - IV. Adieu,"Esa-Pekka Salonen, The Philharmonia Orchestra & Leila Josefowicz",iTunes
2008/05,"iPod + iTunes ""Sonic"" silhouette commercial",Viva la Vida,Coldplay,iTunes
2013,iTunes Festival,Wait For Me,,iTunes
2012/09,Media Event,Walk,Foo Fighters,iTunes
2004,MWSF Keynote,Walk of Life,Dire Straits,iTunes
2004,MWSF Keynote,Walk On the Wild Side,Lou Reed,iTunes
2015/06/15,Shot on an iPhone 6 by Bryan L.,Walk Walk,Yael NaÃƒÂ¯m,
2004/06,"Apple iPod 4G ""Stereo Rock"" silhouette commercial 2004 WWDC Keynote (iPod/iTunes Video) 2004 iTMS Europe Launch at Apple Expo London",Walkie Talkie Man,Steriogram,iTunes
2013/09/10,12:56pm Apple Special Event pre-show,Walking In Your Footsteps,Shout Out Louds,iTunes
2014,"iPhone 5c iSee5c.tumbler.com ""Skate date""",Waltz of the Flowers,Pyotr Ilyich Tchaikovsky,iTunes
2009/06,WWDC Bash,War Pigs,CAKE,iTunes
2004,U2 iTunes Event,Warning,Green Day,iTunes
2014/06,WWDC intra-session 2012/06 WWDC Intra-session 6/15/2012 12:52 p.m. 2010/06 WWDC Intra-session,Wavin' Flag,K'NAAN,iTunes
2011/06,WWDC intra-session,The Way You Do the Things You Do,UB40,iTunes
2012,Apple Special Event,We Are Young (feat. Janelle MonÃƒÂ¡e),Fun.,iTunes
2011/06,WWDC intra-session,We Can Work It Out,The Beatles,iTunes
2011/06,OS X Lion promo video,We Turn It Up,Oh Land,iTunes
2011/06,WWDC intra-session,We're Going to Be Friends,The White Stripes,iTunes
2009,WWDC intra-session 2003 Apple PowerMac G5 intro WWDC,Weapon of Choice,Fatboy Slim,iTunes
2010/06,WWDC Intra-session 6/9/10 1:06 p.m.,Weird Fishes/Arpeggi,Radiohead,iTunes
2010,WWDC Keynote Pre-show 2010/06 WWDC intra-session 2003 Macworld San Francisco 2003 iTunes Music Event 2002 Macworld San Francisco PowerBook G4 Intro,What a Wonderful World,Louis Armstrong,iTunes
2008/02,iPod touch (American Idol) commercial,What I'm Looking For,Brendan Benson,iTunes
2011/10,Siri Promo Video 2007 Special Event Summer 2004 iTMS Europe Launch at Apple Expo London,What'd I Say (Parts I & II),Ray Charles,iTunes
2013/09,Apple Special Event Musical Guest,(Whats So Funny bout) Peace Love And Understanding,Elvis Costello,iTunes
2015/05/20,Shot on an iPhone 6 by Jin,The Wheel,SOHN,iTunes
2008,WWDC 343 Understanding iPhone Table Views preshow,When I Come Around,Green Day,iTunes
2014/07/28,"iPhone 5s ""Dreams"" commercial",When I grow up,Jennifer O'Connor,iTunes
2010/06,FaceTime iPhone 4 commercial 2010/06 WWDC intra-session 6/7/10 6:42 p.m.,When You're Smiling,Louis Armstrong,iTunes
2005,iTunes/Pepsi Bottle Songs (4),When You're Through,Quantic & Spanky Wilson,iTunes
2010/06,WWDC Intra-session 6/9/10 2:26 p.m.,Where Are You Going,Dave Matthews Band,iTunes
2010/06,WWDC Intra-session,Where It's At,Beck,iTunes
2010/06,WWDC Bash 1 (setlist courtesy of @PrimedWick),White Knuckles,OK Go,iTunes
2000,"Apple iMac ""Snow"" commercial",White Room,Cream,iTunes
2013/06/13,WWDC Bash 7:39pm 2010/06 WWDC Intra-session 6/11/10 1:06pm 6/6/11 1:54 p.m.,White Sky,Vampire Weekend,iTunes
2001,"Apple iLife Digital Hub ""middle seat"" commercial",Who Let the Dogs Out?,Baha Men,iTunes
2014/12/08,"iPad Air 2 ""Change"" film",Who Needs You,The Orwells,iTunes
2006/09,"iPod shuffle 2G ""Put some music on"" commercial",Who's Gonna Sing?,Prototypes,iTunes
2013/06/10,WWDC Keynote 1:49:12,Whole Lotta Love,Led Zeppelin,iTunes
2010/06,WWDC Intra-session,Wicked Game,Chris Isaak,iTunes
2004,Apple iLife '04 intro,Wild Wild Life,Talking Heads,iTunes
2012/03/07,iPad (3rd generation) feature video,Will You Be By Me,Wallpaper Airplanes,iTunes
2014/09/09,iPhone Event pre-keynote 2014/06/02 WWDC Keynote pre-session 2014/06 WWDC intra-session 2013/10 Special Event intra-session,The Wire,HAIM,iTunes
2005,NAB Final Cut Pro promo video,Wonderful Night (Trash Remix),Fatboy Slim,iTunes
2009/06,WWDC intra-session 6/11/09 7:53pm,Wonders Never Cease,Morcheeba,iTunes
2007/11,"iPod + iTunes ""Queen"" silhouette commercial",Work That,Mary J. Blige,iTunes
2013,iTunes Festival,Workin' Woman Blues,Valerie June,iTunes
2010/06,WWDC Intra-session 6/8/10 11:43 p.m.,World Famous,World Famous Supreme Team,iTunes
2004,iTMS Europe Launch at Apple Expo London,Wow,Snow Patrol,iTunes
2012/09,"iPod ""Bounce"" commercial",Yeah Yeah,Willy Moon,iTunes
2010/11,"The Beatles on iTunes ""Studio - Yesterday"" commercial",Yesterday,The Beatles,iTunes
2014/06/09,OS X Yosemite New Design video,Yosemite,Keith Kenniff,
2010/06,WWDC Intra-session 6/9/10 3:26pm,You and Your Heart,Jack Johnson,iTunes
2014/06,WWDC intra-session,You Are The Best Thing,Ray LaMontagne,iTunes
2010/06,WWDC intra-session 6/8/10 11:49 p.m.,You Never Know,Wilco,iTunes
1999/09,iBook Notice the Change iBook: Barry,You Turned My Whole World Around,Barry White,iTunes
2011/06,"WWDC intra-session 6/7/11 10:04 a.m. 6/8/11 9:57 a.m. 6/9/11 11:02 a.m. 2009 WWDC intra-session 6/8/09 12:59 p.m. 2008/12 iPhone 3G ""Office"" ""Itchy"" ""Student"" ""Shazam"" and ""Game Changer "" commercials","You, Me and the Bourgeoisie",The Submarines,iTunes
2010/06,WWDC Intra-session,You're So Damn Hot,OK Go,iTunes
2001,"""Rip Mix Burn"" commercial",You're the one I need,Barry White,iTunes
2014/01,"Mac video ""30 Years""",Young,Air Review,iTunes
2003/04,iTunes Music Event,Your Body Is A Wonderland,John Mayer,iTunes
2003/04,iTunes Music Event,Ziggy Stardust,David Bowie,iTunes
2014/08/11,"iPad ""YaobandÃ¢Â€Â™s Verse"" commercial",Ã¦ÂˆÂ‘Ã¤Â»Â¬Ã¥Â°Â±Ã¥Â–ÂœÃ¦Â¬Â¢Ã¨Â¿Â™Ã¦ Â· We Just Love It (Featuring Aventurina King),Yaoband (Ã¨Â€Â€Ã¤Â¹ÂÃ¥Â›Â¢),iTunes
2013/09,"iPhone 5c ""Designed Together"" feature video",1:18,Lemaitre,iTunes
2014/01,"""1.21.14"" Film",1.21.14,Rob Simonsen,
2005,iTunes/Pepsi Bottle Songs,007 (Shanty Town),Desmond Dekker & The Aces,
2015/06,WWDC intra-session playlist 10,11:59,Michael Franti & Spearhead,iTunes
2012/06,WWDC Intra-session 6/15/2012 12:47 p.m. 2011/06 WWDC Intra-session 6/7/11 8:52 a.m. 2010/06 WWDC Intra-session 6/8/10 11:50-53am 6/9/10 1:06 p.m.,11th Dimension,Julian Casablancas,iTunes
2010/06,WWDC Intra-session,15 Step,Radiohead,iTunes
2014,"iPhone 5c iSee5c.tumbler.com ""99 Luftballons""",99 Luftballons,Nena,iTunes
2015/06/08,WWDC pre-keynote 9:46am,101,WALLA,iTunes
2008/07,"iPhone 3G ""Hallway"" commercial",$165 Million + Interest (Intro) The Round Up,David Holmes,iTunes
2007/09,"iPod nano 3G ""Stacks"" commercial/iPod touch walkthrough",1234,Feist,iTunes
2011/06,WWDC intra-session 6/7/11 11:22 a.m. 6/10/11 9:59 p.m.,1517,The Whitest Boy Alive,iTunes
2013,iTunes Festival,2013,Primal Scream,iTunes
